parameter,count,mean,std,min,25%,50%,75%,max,IQR,95%CI,95%CI/|mean|,range
c_khe_f,8.0,0.0024505154629469684,0.0016133824365737427,0.0011919438324956091,0.0015871375819806253,0.0017715019516643437,0.0025646037052251963,0.005999999952720239,0.000977466123244571,0.001118016988317597,0.4562374754302017,0.00480805612022463
c_khe_i,8.0,0.0019107089705233385,0.0006074071423791811,0.0012521696784263863,0.0015242759163796725,0.0017658159473868391,0.002152024752558907,0.00287851840321802,0.0006277488361792344,0.00042091167513111247,0.22029083529964577,0.0016263487247916335
c_t_scan2,8.0,8257.137625,3175.2630579002084,5836.2235,6331.293124999991,7485.016749999999,8417.91825,15726.095500000003,2086.6251250000096,2200.345039486523,0.266477941802081,9889.872000000003
c_tmax,8.0,11729.285312499986,3132.5761169926286,9684.164999999966,10072.746249999975,10665.133749999988,11553.000624999995,19209.3575,1480.2543750000204,2170.764498610341,0.18507218818327673,9525.192500000032
c_vol,8.0,921.3038216875001,176.92651422333287,683.6791992,828.341674775,915.1062012,1040.95458975,1186.116609,212.61291497499997,122.60381921943647,0.13307642531523423,502.43740979999995
d_B1corr_1_a,8.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
d_B1corr_1_l,8.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
d_B1corr_2_a,8.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
d_B1corr_2_l,8.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
d_BAT_1,8.0,70.05595432185163,7.621406939735277,64.52457748149703,64.7035749200812,67.68843423543522,71.12802178237561,87.16078462691827,6.424446862294417,5.281365558683646,0.07538781834902931,22.63620714542124
d_BAT_2,8.0,8685.272261207676,1016.7929640855258,7306.961088510054,7971.407180728028,8706.314007139503,9286.291741957357,10280.470553633773,1314.884561229329,704.601575968292,0.08112602055267269,2973.5094651237196
d_CL,8.0,0.12974666902163107,0.05109748557170028,0.07570014935822092,0.09698487568717111,0.1261461999045776,0.14275542743527642,0.23445269767514126,0.045770551748105306,0.03540875097834442,0.272906821002404,0.15875254831692034
d_R10_a,8.0,0.5787025659816184,0.03426920984023231,0.5211536403322337,0.5608042980855754,0.5823475897332112,0.5890756498359525,0.6406970583071785,0.028271351750377094,0.023747350850654367,0.04103550294506326,0.11954341797494483
d_R10_l,8.0,1.2490573705895616,0.09746354585741764,1.1346616348855905,1.1940313016228004,1.2159564544120964,1.2793950424583882,1.415929203539823,0.08536374083558784,0.06753879151038072,0.05407180895021824,0.2812675686542325
d_R20s_a,8.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
d_R20s_l,8.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
d_S0_1_a,8.0,7537.338248418149,2044.6951316821617,4882.761013978062,6500.605646336551,7133.472843172886,8630.069093957802,11250.062821396994,2129.4634476212505,1416.9014372101458,0.18798432424171874,6367.301807418932
d_S0_1_l,8.0,6355.688691722493,1832.5114888307107,4357.7220053089295,5521.3235205879655,5694.041571684938,6623.090949098951,9518.69456012361,1101.7674285109852,1269.8656743473628,0.1997998542630333,5160.97255481468
d_S0_2_a,8.0,8135.669768591022,2617.391989121919,5075.283341563817,6878.918824188593,7461.167642778777,8803.561945022677,13381.134047463653,1924.6431208340837,1813.7601120408258,0.22293924945713994,8305.850705899837
d_S0_2_l,8.0,6329.379631691931,1709.5371927200938,4388.274817698274,5108.03795570006,5971.622469244864,6873.9955418049685,9234.030305513556,1765.9575861049088,1184.648834829732,0.1871666583085109,4845.755487815281
d_T1_1,8.0,0.8046674956250001,0.05962502412535776,0.70625,0.783102478,0.822475006,0.8375025025,0.881320007,0.05440002450000003,0.04131803370970292,0.051347959168663124,0.17507000699999997
d_T1_2,8.0,0.726665000875,0.059358292832032,0.615119995,0.7048599855000001,0.7362099915,0.75452749625,0.817150024,0.04966751074999998,0.041133198353562925,0.05660544859602865,0.202030029
