parameter,count,mean,std,min,25%,50%,75%,max,IQR,95%CI,95%CI/|mean|,range
d_CL,3.0,0.2595944058537148,0.23221341987981176,0.09946920654272215,0.1264328037856527,0.1533964010285832,0.33965700550921113,0.525917609989839,0.21322420172355844,0.26277422173502374,1.0122491695106126,0.4264484034471169
d_R10_a,3.0,0.5182430026911681,0.014154098988246001,0.5041542257788757,0.5111337382098865,0.5181132506408973,0.5252873911473142,0.532461531653731,0.014153652937427652,0.01601687080756086,0.03090610143192932,0.028307305874855304
d_R10_l,3.0,1.0967409694384997,0.09256958175797286,0.9993204690762714,1.0533394401681124,1.1073584112599535,1.145451219619614,1.1835440279792744,0.09211177945150162,0.10475234297560394,0.09551238249924608,0.18422355890300302
d_R20s_a,3.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
d_R20s_l,3.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
d_S0_a,3.0,139441913.20263124,25331311.415264647,111654193.81079793,128540323.87920398,145426453.94761002,153335772.8985479,161245091.84948578,24795449.019343913,28665077.350477397,0.20557002333166852,49590898.038687855
d_S0_l,3.0,96351847.8326553,13421743.070098717,87262022.3882952,88643986.8848983,90025951.3815014,100896760.55483532,111767569.72816925,12252773.669937015,15188132.070050357,0.15763197501338255,24505547.339874044
d_T1_1,3.0,0.9162166546666667,0.07871032976765734,0.844919983,0.8739849855,0.903049988,0.9518649905000001,1.000679993,0.07788000500000003,0.0890691229555479,0.09721404048036278,0.15576001000000006
d_T1_2,3.0,0.7926999920000001,0.11344170729506868,0.694609985,0.7305849915,0.766559998,0.8417449955,0.916929993,0.11116000400000003,0.12837137647851174,0.1619419424423455,0.22232000799999996
d_T1_3,3.0,0.8270733436666667,0.0975623958922734,0.722400024,0.7828700255000001,0.843340027,0.8794100035,0.91547998,0.09653997799999992,0.11040224404113022,0.1334854337726369,0.19307995599999994
d_dose,3.0,0.025000000000000005,4.2491873609703695e-18,0.025,0.025,0.025,0.025,0.025,0.0,4.808408154719061e-18,1.923363261887624e-16,0.0
d_kbh,3.0,0.0002701222956088935,0.00030435347890055126,2.2361667897158423e-07,0.00010518344341334036,0.00021014327014770914,0.0004050716350738545,0.0005999999999999998,0.0002998881916605142,0.0003444083834251834,1.2750090941173096,0.0005997763833210282
d_khe,3.0,0.00021529113894477894,0.00014116375092333908,9.831960097054878e-05,0.00013689174660967528,0.0001754638922488018,0.00027377690793189404,0.0003720899236149863,0.00013688516132221877,0.00015974182200699792,0.7419804771805814,0.00027377032264443754
d_tmax,3.0,1359.2171833333307,1.0624146197373894,1357.9906199999982,1358.900774999996,1359.8109299999937,1359.8304649999968,1359.85,0.9296900000008463,1.2022353187248962,0.0008845056797888225,1.8593800000016927
d_vol,3.0,1099.7804406,280.17654082622465,874.2334338,942.9629854,1011.692537,1212.553944,1413.415351,269.5909586,317.04960248261244,0.2882844527673558,539.1819172000002
dose_tolerance,3.0,0.10000000000000002,1.6996749443881478e-17,0.1,0.1,0.1,0.1,0.1,0.0,1.9233632618876244e-17,1.923363261887624e-16,0.0
dt,3.0,0.10000000000000002,1.6996749443881478e-17,0.1,0.1,0.1,0.1,0.1,0.0,1.9233632618876244e-17,1.923363261887624e-16,0.0
field_strength,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0
r_CL,3.0,-0.24452834192706133,0.681358198038974,-0.7612373650133135,-0.6306140605462192,-0.49999075607912485,0.013826169616064754,0.5276430953112543,0.6444402301622839,0.7710293845426257,3.1531289112188507,1.2888804603245678
r_kbh,3.0,-0.23679702830746993,0.7580090532839323,-0.9990785573059946,-0.6136285698007534,-0.22817858229551224,0.14434373619179242,0.5168660546790971,0.7579723059925458,0.8577679926848374,3.6223765087586552,1.5159446119850917
r_khe,3.0,-0.28784725523698634,0.647283184628298,-0.765009106144653,-0.6562425890179073,-0.5474760718911618,-0.049266329783152985,0.44894341232485585,0.6069762592347543,0.7324698769386495,2.5446477727765817,1.2139525184695088
rate,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ve,3.0,0.24247199354017823,0.06202996642061079,0.17675378772446138,0.21370799031068952,0.25066219289691766,0.27533109644803666,0.29999999999915566,0.061623106137347144,0.07019351490909564,0.28949122694231655,0.12324621227469429
vh,3.0,0.5591418299269487,0.11278175712838329,0.4545454545469897,0.49939800645811516,0.5442505583692406,0.6114400176169281,0.6786294768646157,0.11204201115881296,0.12762457256199214,0.22825080459221975,0.22408402231762603
weight,3.0,80.0,11.135528725660043,70.0,74.0,78.0,85.0,92.0,11.0,12.601036994364128,0.1575129624295516,22.0
