parameter,count,mean,std,min,25%,50%,75%,max,IQR,95%CI,95%CI/|mean|,range
c_tmax,6.0,11641.266666666668,1810.2543928041346,9365.1,10855.85,11289.1,12165.6,14735.1,1309.75,1448.5051918872934,0.12442848646658954,5370.0
c_vol,6.0,893.6208199833333,136.27542442599608,706.9215997,815.790272575,887.0469932999999,972.608462525,1087.542349,156.81818995000003,109.04304974613451,0.12202384647681805,380.62074930000006
d_B1corr_1_a,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
d_B1corr_1_l,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
d_B1corr_2_a,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
d_B1corr_2_l,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
d_BAT_1,6.0,75.72512626776005,6.103133721544612,69.16725572641252,70.7063239774911,75.00826040901964,80.07267079200076,84.13382830879908,9.366346814509669,4.883524060254167,0.0644901408679899,14.966572582386561
d_BAT_2,6.0,8770.025833521386,767.9419757761725,7494.245256993009,8425.508122484198,8937.155886428356,9341.56181482867,9520.275312480335,916.0536923444724,614.481557620685,0.07006610576584302,2026.0300554873256
d_CL,6.0,0.5577938306990119,0.3621550042894247,0.19721400550309193,0.31564492267284766,0.4269554169007804,0.7941998813813713,1.1004820174176466,0.47855495870852366,0.2897843563128176,0.5195187547156408,0.9032680119145546
d_R10_a,6.0,0.5431830526887561,0.0,0.5431830526887561,0.5431830526887561,0.5431830526887561,0.5431830526887561,0.5431830526887561,0.0,0.0,0.0,0.0
d_R10_l,6.0,1.331612419331868,0.06614146305088678,1.2662555556962505,1.274099436677938,1.3224830013348852,1.3791406277440195,1.4224548726191661,0.10504119106608156,0.052924192869834456,0.03974444222770841,0.15619931692291567
d_R20s_a,6.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
d_R20s_l,6.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
d_S0_1_a,6.0,36777.46327564911,11132.912037777422,24076.261939757434,27730.19045287819,37301.924974268404,46803.75701689167,47474.021122086204,19073.566564013483,8908.1849223221,0.24221857977410685,23397.75918232877
d_S0_1_l,6.0,18784.11832894871,3367.7162629608592,14053.672577669377,16602.823120487534,19374.176368410735,20531.538826404587,23306.319642285736,3928.715705917053,2694.7342379573956,0.14345811662634536,9252.64706461636
d_S0_2_a,6.0,43468.50614227007,16068.86177663865,24226.39763608782,30169.943321584855,44618.389312048836,55458.86492213877,62921.70914316932,25288.921600553913,12857.767286025171,0.29579501177110606,38695.3115070815
d_S0_2_l,6.0,20829.31648663081,4488.849609655341,16486.71704962744,17930.44615955642,20544.56712477768,21081.226449414393,29080.86222515944,3150.780289857972,3591.827751410697,0.1724409801788788,12594.145175531998
d_T1_1,6.0,0.7525,0.03699509967549758,0.70301,0.72516,0.7566299999999999,0.784905,0.78973,0.05974499999999994,0.02960224494820172,0.03933853149262687,0.08672000000000002
d_T1_2,6.0,0.6118283333333333,0.06584477638102106,0.53874,0.5740825,0.5885849999999999,0.65441,0.70946,0.0803275,0.0526867940913133,0.08611368781218039,0.17071999999999998
d_T1_3,6.0,0.622945,0.07376793117608761,0.53179,0.5774174999999999,0.607445,0.67618,0.72449,0.09876250000000009,0.0590266383156396,0.09475417302593263,0.19269999999999998
d_dkhe,6.0,1.4860318467739997,0.7319572971424216,0.6074423715234161,1.0741945651430957,1.4360047382542147,1.6687000793054028,2.736882865516965,0.594505514162307,0.5856878178918492,0.3941287120887137,2.129440493993549
d_dose_1,6.0,0.024999999999999998,3.800588715305073e-18,0.025,0.025,0.025,0.025,0.025,0.0,3.0411043377279095e-18,1.216441735091164e-16,0.0
d_dose_2,6.0,0.024999999999999998,3.800588715305073e-18,0.025,0.025,0.025,0.025,0.025,0.0,3.0411043377279095e-18,1.216441735091164e-16,0.0
d_kbh,6.0,0.00013990889895862976,8.137131063574639e-05,5.3920462235116596e-05,8.45342754045596e-05,0.00012260689100014203,0.00017535024308321898,0.00027554438553276773,9.081596767865937e-05,6.511060898130094e-05,0.46537861040957634,0.00022162392329765112
d_khe,6.0,0.0005932214369563834,0.0003059326117023139,0.00021702540409903129,0.00039847529527649853,0.0005558326047327992,0.0007669366576123315,0.0010473104741437632,0.000368461362335833,0.00024479707282024435,0.412657158979646,0.0008302850700447319
d_khe_f,6.0,0.0013181863841654963,0.00046101382476761496,0.0008109985139595653,0.0010174322646580906,0.0013012718785254851,0.0014160357962384395,0.0021184665384707266,0.00039860353158034894,0.000368887887449508,0.2798450142413204,0.0013074680245111613
d_khe_i,6.0,0.0005932214369563834,0.0003059326117023139,0.00021702540409903129,0.00039847529527649853,0.0005558326047327992,0.0007669366576123315,0.0010473104741437632,0.000368461362335833,0.00024479707282024435,0.412657158979646,0.0008302850700447319
d_t_scan2,6.0,7901.5,740.5743041721067,6694.0,7595.25,7978.5,8449.5,8684.0,854.25,592.5828595338659,0.0749962487545233,1990.0
