parameter,count,mean,std,min,25%,50%,75%,max,IQR,95%CI,95%CI/|mean|,range
d_tmax,6.0,2472.1,2.9664793948382653,2469.1,2469.85,2472.1,2472.85,2477.1,3.0,2.3736778776124337,0.0009601868361362541,8.0
d_vol,6.0,901.50432595,145.89691521246746,706.9215997,824.5257056749999,870.22460905,1015.255686525,1088.763021,190.72998085000006,116.74184579010438,0.12949671169584517,381.8414213
dose_tolerance,6.0,0.09999999999999999,1.5202354861220293e-17,0.1,0.1,0.1,0.1,0.1,0.0,1.2164417350911638e-17,1.216441735091164e-16,0.0
dt,6.0,0.09999999999999999,1.5202354861220293e-17,0.1,0.1,0.1,0.1,0.1,0.0,1.2164417350911638e-17,1.216441735091164e-16,0.0
field_strength,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0
r_CL,6.0,-0.7781499098178187,0.0761841962063107,-0.8647497067154372,-0.8343318887452581,-0.7843825886883756,-0.739176595617813,-0.6602949881228792,0.09515529312744508,0.06096005300871613,0.07833972893858995,0.20445471859255793
r_kbh,6.0,-0.8035159218269738,0.19100005523949157,-0.9999637119169484,-0.9561249865286211,-0.8392042545988794,-0.6643263277727229,-0.541591060511263,0.29179865875589817,0.15283187421885064,0.19020391515248766,0.4583726514056854
r_khe,6.0,-0.7797105982474081,0.07524867821385423,-0.8647497067154372,-0.8395490712432161,-0.7861382525909936,-0.728570168169772,-0.6745038934303687,0.11097890307344405,0.06021148271132379,0.07722286043907053,0.1902458132850685
rate,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ve,6.0,0.25558258660097316,0.051848045866243746,0.18065516634984288,0.21773547937174553,0.27387846858858167,0.2980163169816704,0.2999999999999991,0.08028083760992488,0.0414870771340205,0.16232356705424522,0.11934483365015622
vh,6.0,0.5353043879982308,0.09426917430226132,0.45454545454545625,0.45815215094241746,0.5020391480207607,0.60411731023319,0.6715360611821038,0.14596515929077258,0.07543104933458271,0.14091244351023705,0.2169906066366476
weight,6.0,70.5,9.15969431804359,59.0,65.25,69.5,74.5,85.0,9.25,7.329281911165197,0.1039614455484425,26.0
