Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,BF10,cohen
parameter,d_B1corr_a,d_R10_a,True,True,1.8401235153752292e+16,5.0,two-sided,8.996404728566617e-81,3.703e+06,inf
parameter,d_B1corr_a,d_R10_l,True,True,-12.280968431375417,5.0,two-sided,6.335391836428482e-05,344.495,-7.090420429763896
parameter,d_B1corr_a,d_R20s_a,True,True,-inf,5.0,two-sided,0.0,nan,-inf
parameter,d_B1corr_a,d_R20s_l,True,True,-inf,5.0,two-sided,0.0,nan,-inf
parameter,d_B1corr_a,d_S0_a,True,True,-8.091405258433666,5.0,two-sided,0.0004673203648412463,72.118,-4.67157500407903
parameter,d_B1corr_a,d_S0_l,True,True,-13.462087059094555,5.0,two-sided,4.049514969600698e-05,490.212,-7.772339587422419
parameter,d_B1corr_a,d_T1_1,True,True,16.38727065629085,5.0,two-sided,1.5438233141082114e-05,1050.756,9.461195124692779
parameter,d_B1corr_a,d_T1_2,True,True,14.440363658264525,5.0,two-sided,2.873118392179808e-05,642.803,8.337147845295114
parameter,d_B1corr_a,d_T1_3,True,True,12.520242065084508,5.0,two-sided,5.7677342474116215e-05,370.927,7.228565126595818
parameter,d_B1corr_a,d_dose,True,True,inf,5.0,two-sided,0.0,nan,3.6280122017967066e+17
parameter,d_B1corr_a,d_kbh,True,True,51547.85753862328,5.0,two-sided,5.214957362603588e-23,3.703e+06,29761.16942609813
parameter,d_B1corr_a,d_khe,True,True,11607.326353958311,5.0,two-sided,9.008300201036797e-20,3.702e+06,6701.4929950293
parameter,d_B1corr_a,d_tmax,True,True,-2040.4436700028123,5.0,two-sided,5.366358656108836e-16,3.684e+06,-1178.0507021423914
parameter,d_B1corr_a,d_vol,True,True,-15.118730279760655,5.0,two-sided,2.2939431471832484e-05,768.021,-8.72880299682516
parameter,d_B1corr_a,dose_tolerance,True,True,inf,5.0,two-sided,0.0,nan,8.372335850300093e+16
parameter,d_B1corr_a,dt,True,True,inf,5.0,two-sided,0.0,nan,8.372335850300093e+16
parameter,d_B1corr_a,field_strength,True,True,-inf,5.0,two-sided,0.0,nan,-inf
parameter,d_B1corr_a,r_CL,True,True,57.171436887441885,5.0,two-sided,3.097317835012786e-08,1.483e+05,33.00794447692226
parameter,d_B1corr_a,r_kbh,True,True,23.12927996760029,5.0,two-sided,2.8108284167850395e-06,4063.593,13.353696015456244
parameter,d_B1corr_a,r_khe,True,True,57.9330156888646,5.0,two-sided,2.899263969358619e-08,1.563e+05,33.447642202932784
parameter,d_B1corr_a,rate,True,True,,5.0,two-sided,,nan,
parameter,d_B1corr_a,ve,True,True,35.16897865686534,5.0,two-sided,3.4974405759832433e-07,2.139e+04,20.304819294665403
parameter,d_B1corr_a,vh,True,True,12.0746484048432,5.0,two-sided,6.879143135884332e-05,322.875,6.971301506906306
parameter,d_B1corr_a,weight,True,True,-18.585722537495354,5.0,two-sided,8.299070811080867e-06,1718.844,-10.730471910106637
parameter,d_B1corr_l,d_BAT,True,True,-43.994973725241536,5.0,two-sided,1.1452162752945472e-07,5.217e+04,-25.400509923258717
parameter,d_B1corr_l,d_CL,True,True,4.678381113564907,5.0,two-sided,0.005441481367704127,10.932,2.701064595288361
parameter,d_B1corr_l,d_R10_a,True,True,1.8401235153752292e+16,5.0,two-sided,8.996404728566617e-81,3.703e+06,inf
parameter,d_B1corr_l,d_R10_l,True,True,-12.280968431375417,5.0,two-sided,6.335391836428482e-05,344.495,-7.090420429763896
parameter,d_B1corr_l,d_R20s_a,True,True,-inf,5.0,two-sided,0.0,nan,-inf
parameter,d_B1corr_l,d_R20s_l,True,True,-inf,5.0,two-sided,0.0,nan,-inf
parameter,d_B1corr_l,d_S0_a,True,True,-8.091405258433666,5.0,two-sided,0.0004673203648412463,72.118,-4.67157500407903
parameter,d_B1corr_l,d_S0_l,True,True,-13.462087059094555,5.0,two-sided,4.049514969600698e-05,490.212,-7.772339587422419
parameter,d_B1corr_l,d_T1_1,True,True,16.38727065629085,5.0,two-sided,1.5438233141082114e-05,1050.756,9.461195124692779
parameter,d_B1corr_l,d_T1_2,True,True,14.440363658264525,5.0,two-sided,2.873118392179808e-05,642.803,8.337147845295114
parameter,d_B1corr_l,d_T1_3,True,True,12.520242065084508,5.0,two-sided,5.7677342474116215e-05,370.927,7.228565126595818
parameter,d_B1corr_l,d_dose,True,True,inf,5.0,two-sided,0.0,nan,3.6280122017967066e+17
parameter,d_B1corr_l,d_kbh,True,True,51547.85753862328,5.0,two-sided,5.214957362603588e-23,3.703e+06,29761.16942609813
parameter,d_B1corr_l,d_khe,True,True,11607.326353958311,5.0,two-sided,9.008300201036797e-20,3.702e+06,6701.4929950293
parameter,d_B1corr_l,d_tmax,True,True,-2040.4436700028123,5.0,two-sided,5.366358656108836e-16,3.684e+06,-1178.0507021423914
parameter,d_B1corr_l,d_vol,True,True,-15.118730279760655,5.0,two-sided,2.2939431471832484e-05,768.021,-8.72880299682516
parameter,d_B1corr_l,dose_tolerance,True,True,inf,5.0,two-sided,0.0,nan,8.372335850300093e+16
parameter,d_B1corr_l,dt,True,True,inf,5.0,two-sided,0.0,nan,8.372335850300093e+16
parameter,d_B1corr_l,field_strength,True,True,-inf,5.0,two-sided,0.0,nan,-inf
parameter,d_B1corr_l,r_CL,True,True,57.171436887441885,5.0,two-sided,3.097317835012786e-08,1.483e+05,33.00794447692226
parameter,d_B1corr_l,r_kbh,True,True,23.12927996760029,5.0,two-sided,2.8108284167850395e-06,4063.593,13.353696015456244
parameter,d_B1corr_l,r_khe,True,True,57.9330156888646,5.0,two-sided,2.899263969358619e-08,1.563e+05,33.447642202932784
parameter,d_B1corr_l,rate,True,True,,5.0,two-sided,,nan,
parameter,d_B1corr_l,ve,True,True,35.16897865686534,5.0,two-sided,3.4974405759832433e-07,2.139e+04,20.304819294665403
parameter,d_B1corr_l,vh,True,True,12.0746484048432,5.0,two-sided,6.879143135884332e-05,322.875,6.971301506906306
parameter,d_B1corr_l,weight,True,True,-18.585722537495354,5.0,two-sided,8.299070811080867e-06,1718.844,-10.730471910106637
parameter,d_BAT,d_CL,True,True,44.39991795352623,5.0,two-sided,1.0940458684668167e-07,5.41e+04,25.520208197801747
parameter,d_BAT,d_R10_a,True,True,44.268117779863736,5.0,two-sided,1.1103938377452928e-07,5.347e+04,25.558209716722388
parameter,d_BAT,d_R10_l,True,True,43.58858893554037,5.0,two-sided,1.1994823226638906e-07,5.027e+04,25.282737493075267
parameter,d_BAT,d_R20s_a,True,True,32.63432463293476,5.0,two-sided,5.076582537392692e-07,1.589e+04,18.841436111646516
parameter,d_BAT,d_R20s_l,True,True,32.63432463293476,5.0,two-sided,5.076582537392692e-07,1.589e+04,18.841436111646516
