parameter,,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power
c_khe,T-test,1.4544594210605812,2,two-sided,0.2830434648190072,[-0.  0.],0.8397325382747138,0.85,0.14308931970339817
c_khe_f,T-test,1.3116286059471525,2,two-sided,0.31998602759774164,[-0.  0.],0.7572691287204021,0.786,0.12642501814464244
c_khe_i,T-test,1.7107850285840458,2,two-sided,0.2292498507394088,[-0.  0.],0.9877221967785803,0.975,0.17632074898123395
c_t_scan2,T-test,15.939524948015105,2,two-sided,0.0039128609706520386,[4023.04 6998.02],9.202689019491277,10.521,0.9999960315322844
c_tmax,T-test,32.81194050085578,2,two-sided,0.0009275377740683336,[7033.22 9156.14],18.943982680803067,22.172,1.0
c_vol,T-test,7.87709301924941,2,two-sided,0.01573697125798564,[ 469.52 1599.87],4.547841775095369,4.972,0.9538640253951113
d_B1corr_1_a,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
d_B1corr_1_l,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
d_B1corr_2_a,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
d_B1corr_2_l,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
d_BAT_1,T-test,22.466647865690998,2,two-sided,0.001975309531575273,[59.69 87.97],12.971125193045228,15.026,0.9999999999804465
d_BAT_2,T-test,56.03489804061505,2,two-sided,0.00031832842242981535,[6544.42 7633.04],32.35176346776233,38.215,1.0
d_CL,T-test,1.1427225236683163,2,two-sided,0.3715054297513548,[-2.58  4.45],0.6597511566489509,0.715,0.10859085933057122
d_R10_a,T-test,63.41789838219808,2,two-sided,0.0002485503442182609,[0.48 0.55],36.614340702402394,43.315,1.0
d_R10_l,T-test,20.52089947620636,2,two-sided,0.0023662661890327666,[0.87 1.33],11.84774683660099,13.683,0.9999999988462807
d_R20s_a,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
d_R20s_l,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
d_S0_1_a,T-test,9.526294091253636,2,two-sided,0.010840395804386475,[8.32091063e+07 2.20285856e+08],5.500008457964828,6.103,
d_S0_1_l,T-test,12.579183704783041,2,two-sided,0.0062603964578635445,[6.97280428e+07 1.42225942e+08],7.262595098142244,8.204,0.9995757940969247
d_S0_2_a,T-test,7.562149902038848,2,two-sided,0.017041054584195494,[7.35092935e+07 2.67579081e+08],4.3660092815944305,4.757,0.9415226753420579
d_S0_2_l,T-test,8.32878508143907,2,two-sided,0.014111316947383296,[4.99117003e+07 1.56591111e+08],4.808626308791387,5.282,0.9677105754261331
d_T1_1,T-test,20.161696708778603,2,two-sided,0.0024510200369860084,[0.72 1.11],11.640361022132916,13.435,0.99999999764771
d_T1_2,T-test,12.103102941955871,2,two-sided,0.006757514433126235,[0.51 1.07],6.987729741567975,7.876,
d_T1_3,T-test,14.683250034145514,2,two-sided,0.004606242768078638,[0.58 1.07],8.477378359792494,9.654,0.999974110875565
d_dkhe,T-test,-0.4079748635738269,2,two-sided,0.7228213831299513,[-2.02  1.67],0.23554439730694984,0.501,0.05767722501532309
d_dose_1,T-test,1.0190482676041238e+16,2,two-sided,9.629649721936175e-33,[0.02 0.03],5883477916184627.0,48.738,
d_dose_2,T-test,1.0190482676041238e+16,2,two-sided,9.629649721936175e-33,[0.02 0.03],5883477916184627.0,48.738,
d_kbh,T-test,4.9718049174846195,2,two-sided,0.03815465767096243,[0. 0.],2.870472907468051,3.002,0.7153050281624058
d_khe,T-test,1.2248351216690108,2,two-sided,0.3453187644250074,[-0.  0.],0.7071588872085114,0.748,0.11699911119985183
d_khe_f,T-test,1.2062349273190085,2,two-sided,0.35105527878212994,[-0.  0.],0.6964200599935582,0.741,0.11505048076163865
d_khe_i,T-test,1.2248351216690108,2,two-sided,0.3453187644250074,[-0.  0.],0.7071588872085114,0.748,0.11699911119985183
d_t_scan2,T-test,38.70225613643168,2,two-sided,0.0006669492471681807,[4691.69 5865.35],22.34475799861467,26.241,1.0
d_tmax,T-test,61.91511719453315,2,two-sided,0.00026075743915474726,[7287.14 8375.59],35.74670957917094,42.277,1.0
d_vol,T-test,6.798840454922872,2,two-sided,0.020956040974803965,[ 403.78 1795.78],3.9253123668270375,4.236,0.9002137201531143
dose_tolerance,T-test,1.0190482676041238e+16,2,two-sided,9.629649721936175e-33,[0.1 0.1],5883477916184627.0,48.738,
dt,T-test,1.0190482676041238e+16,2,two-sided,9.629649721936175e-33,[0.1 0.1],5883477916184627.0,48.738,
field_strength,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
r_CL,T-test,0.4376092628518693,2,two-sided,0.7043924080617268,[-1.24  1.52],0.2526538257074004,0.506,0.0588276598361634
r_kbh,T-test,1.3318632503627141,2,two-sided,0.3144063925796575,[-5.31 10.08],0.7689516061206828,0.795,0.12870002255103039
r_khe,T-test,0.23290512877953687,2,two-sided,0.8375001538460066,[-1.11  1.24],0.1344678387965101,0.478,0.05250889349180746
rate,T-test,inf,2,two-sided,0.0,[nan nan],inf,nan,
ve,T-test,5.126278028791059,2,two-sided,0.036010655081799556,[0.04 0.4 ],2.9596579998633823,3.105,0.7361517648009097
vh,T-test,7.782955218825372,2,two-sided,0.016110756542976216,[0.27 0.94],4.49349129067963,4.908,
weight,T-test,12.443420336765103,2,two-sided,0.006396434149124302,[ 52.34 107.66],7.184212081070997,8.11,0.9994993885923801
