parameter,count,mean,std,min,25%,50%,75%,max,IQR,95%CI,95%CI/|mean|,range
c_khe_i,3.0,0.00040486522603031065,0.0004098978714366891,0.0001627691320770325,0.00016823159464271107,0.00017369405720838964,0.0005259132730069498,0.0008781324888055097,0.0003576816783642387,0.00046384310697188504,1.1456728737112112,0.0007153633567284773
c_t_scan2,3.0,5510.531976666668,598.7958481477938,4920.278119999995,5207.038434999999,5493.798750000002,5805.658905000004,6117.519060000006,598.6204700000053,677.6012904708076,0.1229647687990897,1197.2409400000106
c_tmax,3.0,8094.676820000001,427.29540859445365,7601.615619999999,7963.516014999999,8325.41641,8341.20742,8356.998430000001,377.6914050000014,483.53027358397793,0.05973435188780988,755.3828100000028
c_vol,3.0,1034.6970591333331,227.51386488410435,829.1954964,912.4531466999999,995.710797,1137.4478405,1279.184884,224.99469380000005,257.4561746250112,0.2488227567213322,449.9893876
d_B1corr_1_a,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
d_B1corr_1_l,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
d_B1corr_2_a,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
d_B1corr_2_l,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
d_BAT_1,3.0,73.83307647668578,5.692110389642457,70.5416516681323,70.5467363221385,70.5518209761447,75.4787888809625,80.4057567857803,4.932052558823997,6.441229272805591,0.08724042908925154,9.864105117647995
d_BAT_2,3.0,7088.732170550585,219.11424326572853,6893.739509740951,6970.172745019528,7046.605980298104,7186.228500955402,7325.851021612698,216.055755935874,247.95110797218905,0.03497820230848566,432.1115118717471
d_CL,3.0,0.9330230183278597,1.4142044450015492,0.08099597841409596,0.11679331973054011,0.15259066104698427,1.3590365382847416,2.565482415522499,1.2422432185542014,1.600322981341187,1.7152020367184997,2.484486437108403
d_R10_a,3.0,0.5182430026911681,0.014154098988246001,0.5041542257788757,0.5111337382098865,0.5181132506408973,0.5252873911473142,0.532461531653731,0.014153652937427652,0.01601687080756086,0.03090610143192932,0.028307305874855304
d_R10_l,3.0,1.0967409694384997,0.09256958175797286,0.9993204690762714,1.0533394401681124,1.1073584112599535,1.145451219619614,1.1835440279792744,0.09211177945150162,0.10475234297560394,0.09551238249924608,0.18422355890300302
d_R20s_a,3.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
d_R20s_l,3.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
d_S0_1_a,3.0,151747480.90142265,27590408.644130316,121470018.39092611,139886055.82948136,158302093.2680366,166886212.15667093,175470331.04530522,27000156.327189565,31221486.521171216,0.20574632498481568,54000312.654379115
d_S0_1_l,3.0,105976992.28361101,14592165.86516295,96136216.51729177,97594369.49327764,99052522.4692635,110897380.16677065,122742237.86427781,13303010.673493013,16512590.145010537,0.155812972129085,26606021.34698604
d_S0_2_a,3.0,170544187.39948332,39061801.38426137,138318047.72642335,148822630.81353694,159327213.9006505,186657257.2360133,213987300.57137606,37834626.42247635,44202589.4267006,0.2591855524407894,75669252.8449527
d_S0_2_l,3.0,103251405.66574728,21472120.94168714,86356351.71827191,91170005.10055837,95983658.48284484,111698932.639485,127414206.79612514,20528927.53892663,24297992.219280332,0.23532843996274008,41057855.07785323
d_T1_1,3.0,0.9162166546666667,0.07871032976765734,0.844919983,0.8739849855,0.903049988,0.9518649905000001,1.000679993,0.07788000500000003,0.0890691229555479,0.09721404048036278,0.15576001000000006
d_T1_2,3.0,0.7926999920000001,0.11344170729506868,0.694609985,0.7305849915,0.766559998,0.8417449955,0.916929993,0.11116000400000003,0.12837137647851174,0.1619419424423455,0.22232000799999996
d_T1_3,3.0,0.8270733436666667,0.0975623958922734,0.722400024,0.7828700255000001,0.843340027,0.8794100035,0.91547998,0.09653997799999992,0.11040224404113022,0.1334854337726369,0.19307995599999994
d_dkhe,3.0,-0.1748796712330456,0.7424488683768226,-0.9993392704446422,-0.4827664963210087,0.033806277802624844,0.23735012837275274,0.4408939789428806,0.7201166246937615,0.8401599858731075,4.8042175511269445,1.4402332493875227
d_dose_1,3.0,0.025000000000000005,4.2491873609703695e-18,0.025,0.025,0.025,0.025,0.025,0.0,4.808408154719061e-18,1.923363261887624e-16,0.0
d_dose_2,3.0,0.025000000000000005,4.2491873609703695e-18,0.025,0.025,0.025,0.025,0.025,0.0,4.808408154719061e-18,1.923363261887624e-16,0.0
d_kbh,3.0,0.0004280904003690047,0.0001491358442210866,0.0003331426684214273,0.00034214374912996655,0.00035114482983850587,0.00047556426634279346,0.000599983702847081,0.0001334205172128269,0.00016876309482145822,0.39422303017303834,0.0002668410344256537
d_khe,3.0,0.0006898988681214701,0.0009755924454896202,8.005987535924262e-05,0.000127301057238458,0.00017454223911767336,0.000994818364502584,0.0018150944898874945,0.0008675173072641259,0.001103986779604683,1.6002153802784682,0.0017350346145282517
d_khe_f,3.0,0.000709335279264119,0.0010185451568851711,5.2897925848116965e-08,0.0001257748796708561,0.0002514968614158641,0.0010639764699332545,0.0018764560784506447,0.0009382015902623985,0.0011525923481985085,1.6248907701224655,0.0018764031805247965
d_khe_i,3.0,0.0006898988681214701,0.0009755924454896202,8.005987535924262e-05,0.000127301057238458,0.00017454223911767336,0.000994818364502584,0.0018150944898874945,0.0008675173072641259,0.001103986779604683,1.6002153802784682,0.0017350346145282517
d_t_scan2,3.0,5278.5213,236.2308555916004,5087.221560000005,5146.496715000001,5205.771869999997,5374.171169999998,5542.570469999999,227.67445499999667,267.32037821074397,0.05064304243893909,455.34890999999334
